base_file,base_id,base_state,compare_file,compare_id,compare_state,compare_J,compare_P,compare_Ex,orbital,dN,dZ,dTotal
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,28,2+(9)(J=2+),2,+,9.379,0d5,-0.062060,-0.900540,-0.962600
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,28,2+(9)(J=2+),2,+,9.379,1s1,-0.050900,0.408528,0.357628
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,29,3+(5)(J=3+),3,+,9.392,0d3,0.252810,0.222968,0.475778
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,29,3+(5)(J=3+),3,+,9.392,0d5,-0.130240,-0.606320,-0.736560
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,29,3+(5)(J=3+),3,+,9.392,1s1,-0.122570,0.383358,0.260788
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,30,3+(6)(J=3+),3,+,9.537,0d3,0.453150,0.155174,0.608324
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,30,3+(6)(J=3+),3,+,9.537,0d5,-0.268120,-0.536840,-0.804960
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,30,3+(6)(J=3+),3,+,9.537,1s1,-0.185030,0.381672,0.196642
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,31,6+(1)(J=6+),6,+,9.618,0d3,0.222970,0.659513,0.882483
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,31,6+(1)(J=6+),6,+,9.618,0d5,-0.222540,-0.739840,-0.962380
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,31,6+(1)(J=6+),6,+,9.618,1s1,-0.000430,0.080332,0.079902
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,32,3+(7)(J=3+),3,+,9.729,0d3,0.337200,0.341529,0.678729
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,32,3+(7)(J=3+),3,+,9.729,0d5,-0.299730,-0.513420,-0.813150
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,32,3+(7)(J=3+),3,+,9.729,1s1,-0.037470,0.171895,0.134425
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,33,2+(10)(J=2+),2,+,9.743,0d3,0.382880,0.188838,0.571718
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,33,2+(10)(J=2+),2,+,9.743,0d5,-0.253230,-0.396830,-0.650060
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,33,2+(10)(J=2+),2,+,9.743,1s1,-0.129650,0.207991,0.078341
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,34,1+(6)(J=1+),1,+,9.822,0d3,-0.004750,0.405330,0.400580
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,34,1+(6)(J=1+),1,+,9.822,0d5,-0.106100,-0.914970,-1.021070
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,34,1+(6)(J=1+),1,+,9.822,1s1,0.110860,0.509643,0.620503
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,35,2+(11)(J=2+),2,+,9.959,0d3,0.023500,0.562981,0.586481
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,35,2+(11)(J=2+),2,+,9.959,0d5,-0.090840,-0.832280,-0.923120
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,35,2+(11)(J=2+),2,+,9.959,1s1,0.067340,0.269300,0.336640
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,36,5+(2)(J=5+),5,+,9.997,0d3,-0.218870,0.756505,0.537635
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,36,5+(2)(J=5+),5,+,9.997,0d5,-0.005150,-0.863420,-0.868570
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,36,5+(2)(J=5+),5,+,9.997,1s1,0.224010,0.106919,0.330929
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,37,0+(6)(J=0+),0,+,10.065,0d3,-0.101020,0.970730,0.869710
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,37,0+(6)(J=0+),0,+,10.065,0d5,-0.026400,-1.039430,-1.065830
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,37,0+(6)(J=0+),0,+,10.065,1s1,0.127420,0.068697,0.196117
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,38,4+(6)(J=4+),4,+,10.074,0d3,-0.087170,0.238423,0.151253
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,38,4+(6)(J=4+),4,+,10.074,0d5,0.041470,-0.911460,-0.869990
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,38,4+(6)(J=4+),4,+,10.074,1s1,0.045700,0.673031,0.718731
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,39,1+(7)(J=1+),1,+,10.228,0d3,-0.024790,0.310431,0.285641
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,39,1+(7)(J=1+),1,+,10.228,0d5,-0.054760,-0.676880,-0.731640
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,39,1+(7)(J=1+),1,+,10.228,1s1,0.079550,0.366446,0.445996
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,40,4+(7)(J=4+),4,+,10.243,0d3,-0.060980,0.748631,0.687651
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,40,4+(7)(J=4+),4,+,10.243,0d5,0.000520,-0.873380,-0.872860
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,40,4+(7)(J=4+),4,+,10.243,1s1,0.060460,0.124753,0.185213
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,41,2+(12)(J=2+),2,+,10.301,0d3,0.260180,0.317293,0.577473
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,41,2+(12)(J=2+),2,+,10.301,0d5,-0.205910,-0.789640,-0.995550
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,41,2+(12)(J=2+),2,+,10.301,1s1,-0.054270,0.472346,0.418076
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,42,5+(3)(J=5+),5,+,10.431,0d3,0.110170,0.637876,0.748046
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,42,5+(3)(J=5+),5,+,10.431,0d5,-0.022910,-0.658960,-0.681870
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,42,5+(3)(J=5+),5,+,10.431,1s1,-0.087260,0.021088,-0.066172
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,43,3+(8)(J=3+),3,+,10.495,0d3,0.230320,0.357008,0.587328
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,43,3+(8)(J=3+),3,+,10.495,0d5,-0.023350,-0.756730,-0.780080
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,43,3+(8)(J=3+),3,+,10.495,1s1,-0.206980,0.399728,0.192748
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,44,4+(8)(J=4+),4,+,10.565,0d3,-0.057610,0.803890,0.746280
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,44,4+(8)(J=4+),4,+,10.565,0d5,-0.068160,-1.321930,-1.390090
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,44,4+(8)(J=4+),4,+,10.565,1s1,0.125770,0.518036,0.643806
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,45,2+(13)(J=2+),2,+,10.720,0d3,0.203280,0.503851,0.707131
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,45,2+(13)(J=2+),2,+,10.720,0d5,-0.059890,-0.850370,-0.910260
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,45,2+(13)(J=2+),2,+,10.720,1s1,-0.143390,0.346522,0.203132
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,46,3+(9)(J=3+),3,+,10.741,0d3,0.292830,0.418653,0.711483
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,46,3+(9)(J=3+),3,+,10.741,0d5,-0.030470,-0.755420,-0.785890
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,46,3+(9)(J=3+),3,+,10.741,1s1,-0.262360,0.336771,0.074411
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,47,1+(8)(J=1+),1,+,10.763,0d3,0.184960,0.598704,0.783664
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,47,1+(8)(J=1+),1,+,10.763,0d5,-0.127830,-0.706860,-0.834690
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,47,1+(8)(J=1+),1,+,10.763,1s1,-0.057130,0.108157,0.051027
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,48,2+(14)(J=2+),2,+,10.781,0d3,0.129240,0.493199,0.622439
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,48,2+(14)(J=2+),2,+,10.781,0d5,-0.124820,-0.806100,-0.930920
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,48,2+(14)(J=2+),2,+,10.781,1s1,-0.004420,0.312902,0.308482
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,49,5+(4)(J=5+),5,+,10.860,0d3,0.118750,0.280275,0.399025
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,49,5+(4)(J=5+),5,+,10.860,0d5,0.032640,-0.736080,-0.703440
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,49,5+(4)(J=5+),5,+,10.860,1s1,-0.151390,0.455803,0.304413
